A level	상급학년시험
A line	라인의
A sub	원자력 잠수함
A.E.R.E.	원자력 연구소
A.N. Other	익명씨/선수 미정
A.V.C.	미국 재향 군인회
ABCC	원폭 상해 조사 위원회
AC/DC	교류/직류의/양성에의/교직양용의
ANVETS	제 2차 세계 대전 미국 제향 군인회
Aaron	아론
Aaron's beard	물레나물/범의귀 따위의 속명
Aaron's rod	식물 미역취 따위의 속명
Abba	아버지
Abel	아벨
Aberdeen	스모치테리어개/스콜틀랜드의 동북부도시
Aberdonian	에버딘의사람
Abomb	원자/고속용으로 개조한 중고차
Abraham	아브라함/남자 이름
Abrahamman	가짜로 미치광이 짓을 하며 다니는 거지
Abram	아브람/남자이름
Absalom	압살롬
Abyssinia	아비시니아
Abyssinian	아비시니아의/아비시니아 말/아비시니아 사람
Academy award	아카데미상
Acadia	캐나다 남동부/캐나다 남동부의 지방
Accra	가나의 수도
Aceldama	유혈의 땅/유다가 자살한곳
Achaea	그리스의 한지방
Achaia	아케아/그리스의/그리스 사람
Achates	신의가 두터운벗
Achernar	아케르나르
Acheron	저승/아케론 강/그리스 로마 신화의 아케론강
Acheulean	아슐기
Achillean	아킬레스의
Achilles	아킬레스 유일한 약점
Achilles tendon	아킬레스건
Achromycin	아크로마이신
Acrilan	아크릴란
Adam	아담
Adamism	노출증
Adamite	나체주의/아담의 자손
Adar	12월
Addison	에디슨
Addisonian	에디슨류의
Adelaide	애들레이드/여자 이름
Aden	아덴
Adenauer	아데나워
Adirondack	아디론댁족/아디론댁족의 사람
Admetus	아드메토스
Adolf	남자 이름
Adolphus	남자 이름
Adonai	주/상제
Adonis	미소년/비너스가 사랑한 소년
Adrian	남자이름
Adriatic	아드리아 해/아드리아해의
Adulamite	탈당파 의원/어덜럼 당원
Adventism	그리스도 재림설
Adventist	그리스도 재림론자
Aeacus	아이아코스
Aegean	다도해/에게해/에게해의 다도해의
Aegean sea	다도해/에게해
Aegir	아에기르
Aegisthus	아이기스트스
Aeneas	트로이의 용사
Aeolian	바람에의한
Aeolis	아이올리스
Aeolisn harp	풍명금
Aeolus	바람의 신
Aeroflot	에어로플롯
Aeschylus	그리스의 비극 시인
Aesculapian	의술의
Aesculapius	의료의 신
Aesir	아사신족
Aesop	이솝/고대 그리스의 우화작가
Aesopian	이솝의/우의적인/이솝 이야기 같은
Afghan	아프카니스탄 사람
Afghanistanism	가까운 문제를 등한시하고 먼 나라의 문제에 역점을 둠
Afghistan	아프카니스탄
Afric	아프리카
Africana	아프리카지/아프리카에 관한 문헌
Africander	남아프리카산의 육우
Africanist	아프리카 언어 연구자/아프리카 민족 해방주의자
Africanize	아프리카화 하다/아프리카 흑인의 세력하에 두다
Afrikaner	남아프리카 태생의 백인
Afrobeat	칼립소/하이라이프/아메리카 재즈의 요소를 갖춘 음악
Agapemone	사랑의 집/자유연애자 집단
Agatha	여자 이름
Aglaia	아글라이아의 3여신 중의 하나
Agnes	여자 이름
Ahead	암페타민 상용자
Ahriman	아리만
Aida	아이다/그 여주인공인 에티오피아의 왕녀
Aileen	여자 이름
Ainu	아이누사람의
Ajanta	아잔타
Ajax	트로이전쟁의 그리스군의 용사
Akkad	아카드
Akkadian	아카드 말
Alabama	미국 남부의
Alabamian	알라바마의
Aladdin's lamp	얼래딘의 램프
Alan	남자 이름
Alaskan	알래스카의
Alastor	알라스토르/남자 이름
Albania	유고 슬라비아와 그리스 사이의 공화국
Albanian	알바니아 의/알바니아 말/알바니아 사람
Albert	앨버트공/남자 이름
Alberta	앨버타/여자 이름
Albigenses	알비파
Albin	남자 이름
Albina	여자 이름
Albion	앨비언
Alcaic	고대 그리스의 시인
Alcmene	알크메네
Alcoran	이슬람교의 경전
Alcott	올콧
Alcyone	황소자리의 3등성
Aldebaran	황소자리 중의 1등성
Aldershot	올더숏
Aldous	남자 이름
Aleck	남자 이름
Alemannic	알라만 말/알라만 말의
Aleut	에스키모토인
Aleutians	알래스카남서부의 군도
Alex	남자 이름
Alexander	마케도니아의왕
Alexandra	여자 이름
Alexandria	나일강어귀의 항구
Alexandrian	알렉산드 대왕의
Alfred	남자 이름/앨프레드 대왕
Algeria	아프리카 북부의 공하국
Algiers	알제리의 수도
Algol	프로그램언어
Algonkian	알곤키안대/알곤키안대의
Algonquian	알곤킨족
Alhambresque	알함브라 궁전식의
Alice	앨리스/여자이름
Alison	여자 이름
Alitalia	이탈리아 항공 회사
All American	미국제일의/전미대표의/미국인으로만 된
Allen	남자 이름
Almagest	알마게스트/연금술 저서
Alpheus	알페오스
Alpine	고산의/알프스의/대단히 높은
Alps	알프스 산맥
Alsatia	도피장소
Alsatian	알자스의/알세이셔의
Altai	알타이
Altaic	알타이어족/알타이어족의/알타이 산맥
Altair	견우성/독수리자리의 주성
Altamira	스페인 북부의 구석기 시대의 동굴 유적
Althea	여자 이름
Amanda	여자 이름
Amazon	아마존강/그리스 전설에 나오는 흑해 부근에 있던 용감한 여장부
Amazonian	용맹한/아마존강의/여장부 같은/남자 못지 않은/아마존 강 유역의
Amboina	암보이나
Amelia	여자 이름
AmerEnglish	미국 영어
Amerasian	미국인과 동양인의 튀기
America	미국/아메리카/미합중국
American	미합중국의/아메리카의/아메리카 사람의/아메리카 원주민의
American Beauty	붉은장미의 일종
American English	미어/미국영어
